scale_km,buffer_km,pet_threshold,elder_threshold,grid_count,grid_share,population_exposed_share,population_dense_grid_count,population_dense_grid_share_within_flag,mean_all_age_buffer_alignment,mean_service_density_pct,mean_transit_buffer_pct,mean_population_pct,mean_housing_price_pct
0.5,1.0,0.7,0.4,3613,0.12223838684575566,0.13288069032429628,1568,0.4339883753113756,0.4913963052636123,0.5860542548245053,0.587499687883797,0.6274489626095328,0.3338160476463336
0.5,1.0,0.75,0.1,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.75,0.2,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.75,0.25,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.75,0.3,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.75,0.4,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.8,0.1,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.8,0.2,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.8,0.25,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.8,0.3,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.8,0.4,1597,0.054031193964204756,0.08711866900540838,1009,0.6318096430807765,0.5929581267629098,0.6820690888305481,0.6989675508104198,0.7235506493812452,0.3484296040427301
0.5,1.0,0.85,0.1,936,0.031667625266434345,0.062141844135806916,701,0.7489316239316239,0.6491425753399345,0.743769984404541,0.7597651655492825,0.7735308780781781,0.37890614628965885
0.5,1.0,0.85,0.2,936,0.031667625266434345,0.062141844135806916,701,0.7489316239316239,0.6491425753399345,0.743769984404541,0.7597651655492825,0.7735308780781781,0.37890614628965885
0.5,1.0,0.85,0.25,936,0.031667625266434345,0.062141844135806916,701,0.7489316239316239,0.6491425753399345,0.743769984404541,0.7597651655492825,0.7735308780781781,0.37890614628965885
0.5,1.0,0.85,0.3,936,0.031667625266434345,0.062141844135806916,701,0.7489316239316239,0.6491425753399345,0.743769984404541,0.7597651655492825,0.7735308780781781,0.37890614628965885
0.5,1.0,0.85,0.4,936,0.031667625266434345,0.062141844135806916,701,0.7489316239316239,0.6491425753399345,0.743769984404541,0.7597651655492825,0.7735308780781781,0.37890614628965885
0.5,1.0,0.9,0.1,486,0.01644280542680245,0.037949265358352184,405,0.8333333333333334,0.6833479587820162,0.7922661483830642,0.8055391691102133,0.8059332998055724,0.3804454552017905
0.5,1.0,0.9,0.2,486,0.01644280542680245,0.037949265358352184,405,0.8333333333333334,0.6833479587820162,0.7922661483830642,0.8055391691102133,0.8059332998055724,0.3804454552017905
0.5,1.0,0.9,0.25,486,0.01644280542680245,0.037949265358352184,405,0.8333333333333334,0.6833479587820162,0.7922661483830642,0.8055391691102133,0.8059332998055724,0.3804454552017905
0.5,1.0,0.9,0.3,486,0.01644280542680245,0.037949265358352184,405,0.8333333333333334,0.6833479587820162,0.7922661483830642,0.8055391691102133,0.8059332998055724,0.3804454552017905
0.5,1.0,0.9,0.4,486,0.01644280542680245,0.037949265358352184,405,0.8333333333333334,0.6833479587820162,0.7922661483830642,0.8055391691102133,0.8059332998055724,0.3804454552017905
0.5,2.0,0.7,0.1,636,0.021517745373346414,0.021889786860033948,282,0.44339622641509435,0.5511737724576171,0.5768725277120638,0.5531031020201438,0.6411139050824317,0.28282957286788707
0.5,2.0,0.7,0.2,636,0.021517745373346414,0.021889786860033948,282,0.44339622641509435,0.5511737724576171,0.5768725277120638,0.5531031020201438,0.6411139050824317,0.28282957286788707
0.5,2.0,0.7,0.25,636,0.021517745373346414,0.021889786860033948,282,0.44339622641509435,0.5511737724576171,0.5768725277120638,0.5531031020201438,0.6411139050824317,0.28282957286788707
0.5,2.0,0.7,0.3,636,0.021517745373346414,0.021889786860033948,282,0.44339622641509435,0.5511737724576171,0.5768725277120638,0.5531031020201438,0.6411139050824317,0.28282957286788707
